Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
fsh-generated/resources/NamingSystem-PhilSysIDNS.json	700	1	1	0	0	0	0	0	0	2	9	0	0	0	1	0	0	0	0	0	8	5	0	0	0	0	0	0
fsh-generated/resources/Observation-blood-pressure.json	3394	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	8	0	0	0	0	0	0
fsh-generated/resources/Observation-observation-based-on-service-example.json	1485	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	6	0	0	0	0	0	0
fsh-generated/resources/Observation-observation-bp-example.json	3416	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	6	0	0	0	0	0	0
fsh-generated/resources/Observation-observation-derived-bmi-example.json	1565	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	6	0	0	0	0	0	0
fsh-generated/resources/Observation-observation-environmental-temp-example.json	1193	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	5	0	0	0	0	0	0
fsh-generated/resources/Observation-observation-glucose-example.json	1689	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	6	0	0	0	0	0	0
fsh-generated/resources/Observation-observation-height-example.json	1077	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	0	0	0	0	0	0
fsh-generated/resources/Observation-observation-lab-panel-example.json	1358	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	11	0	0	1	0	0	0
fsh-generated/resources/Observation-observation-part-of-procedure-example.json	1882	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	6	0	0	0	0	0	0
fsh-generated/resources/Observation-observation-performer-role-example.json	1406	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	0	0	0	0	0	0
fsh-generated/resources/Observation-observation-potassium-example.json	1686	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5	3	0	0	0	0	0	0
fsh-generated/resources/Observation-observation-sodium-example.json	1681	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	5	0	0	0	0	0	0
fsh-generated/resources/Observation-observation-vitals-encounter-example.json	1242	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	0	0	0	0	0	0
fsh-generated/resources/Observation-observation-weight-example.json	1076	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	0	0	0	0	0	0
fsh-generated/resources/Organization-organization-single-example.json	3696	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	7	0	0	0	0	0	0
fsh-generated/resources/Patient-example-patient.json	3010	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	5	0	0	0	0	0	0
fsh-generated/resources/Patient-patient-single-example.json	4418	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	9	6	0	0	0	0	0	0
fsh-generated/resources/Practitioner-example-practitioner.json	1106	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0
fsh-generated/resources/Practitioner-practitioner-single-example.json	4448	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	9	0	0	0	0	0	0
fsh-generated/resources/PractitionerRole-practitionerrole-single-example.json	1426	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	8	0	0	0	0	0	0
fsh-generated/resources/Procedure-procedure-single-example.json	4725	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	9	16	0	0	0	0	0	0
fsh-generated/resources/Provenance-provenance-single-example.json	1963	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	14	0	0	0	0	0	0
fsh-generated/resources/RelatedPerson-relatedperson-single-example.json	2706	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	8	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-servicerequest-single-example.json	1301	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	12	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-administered-product.json	1425	1	0	10	0	0	0	1	1	632	0	0	0	0	0	0	0	1	0	0	35	511	0	1	0	2	0	0
fsh-generated/resources/StructureDefinition-barangay.json	1330	1	0	6	0	0	0	0	0	6	0	0	0	0	1	0	0	0	0	0	36	122	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-batch-number.json	1248	1	0	5	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	35	89	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-city-municipality.json	1450	1	0	5	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	33	86	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-educational-attainment.json	1494	1	0	5	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	32	83	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-indigenous-group.json	1469	1	0	5	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	25	79	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-indigenous-people.json	1284	1	0	5	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	29	77	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-occupation.json	2966	1	0	10	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	74	124	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-ph-core-address.json	2016	1	0	14	0	0	0	0	0	15	0	0	0	0	1	0	0	0	0	0	68	203	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-ph-core-allergyintolerance.json	25705	6	0	40	0	0	0	0	0	36	0	0	1	0	0	0	0	1	0	0	270	498	0	0	0	11	0	2
fsh-generated/resources/StructureDefinition-ph-core-claim.json	2934	2	0	67	0	0	0	0	0	21	0	0	0	0	1	0	0	2	0	0	261	603	0	0	0	14	1	1
fsh-generated/resources/StructureDefinition-ph-core-condition.json	28850	7	0	39	0	0	0	0	1	33	0	0	0	0	0	0	0	1	0	0	259	365	0	0	0	26	0	1
fsh-generated/resources/StructureDefinition-ph-core-doh-nhfr-code.json	1016	1	0	9	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	31	80	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-ph-core-encounter.json	44818	11	0	54	0	0	0	0	0	44	0	0	0	0	0	0	0	2	0	0	374	590	0	0	0	20	0	2
fsh-generated/resources/StructureDefinition-ph-core-healthcareservice.json	49280	12	0	41	1	0	0	0	0	30	0	0	1	0	1	0	0	3	0	0	307	454	0	0	0	17	0	2
fsh-generated/resources/StructureDefinition-ph-core-immunization.json	71671	16	0	55	0	0	0	0	0	43	0	0	0	0	0	1	0	2	0	0	419	714	0	0	0	23	0	3
fsh-generated/resources/StructureDefinition-ph-core-location.json	21005	6	0	25	0	0	0	0	0	21	0	0	0	0	1	0	0	0	0	0	168	310	0	0	0	15	0	1
fsh-generated/resources/StructureDefinition-ph-core-medication.json	14319	4	0	16	0	0	0	0	0	15	0	0	0	0	0	0	0	1	0	0	146	257	0	0	0	8	0	1
fsh-generated/resources/StructureDefinition-ph-core-medicationadministration.json	39736	10	0	30	0	0	0	0	1	71	0	0	0	0	1	0	0	1	0	0	279	375	0	0	0	20	0	2
fsh-generated/resources/StructureDefinition-ph-core-medicationdispense.json	36360	10	0	95	0	0	0	0	0	25	0	0	1	0	0	0	0	0	0	0	270	358	0	0	0	15	0	1
fsh-generated/resources/StructureDefinition-ph-core-medicationrequest.json	41274	11	0	36	0	0	0	0	1	33	0	0	0	0	1	0	0	1	0	0	316	409	0	1	0	17	1	2
fsh-generated/resources/StructureDefinition-ph-core-medicationstatement.json	23035	5	0	24	0	0	0	0	0	28	0	0	0	0	0	0	0	1	0	0	169	250	0	0	0	11	0	1
fsh-generated/resources/StructureDefinition-ph-core-name.json	730	1	0	6	0	0	0	0	0	6	0	0	0	0	1	0	0	0	0	0	28	71	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-ph-core-observation.json	62193	12	0	64	0	0	0	0	1	68	0	0	0	0	0	0	0	1	0	0	409	697	0	1	0	23	0	2
fsh-generated/resources/StructureDefinition-ph-core-organization.json	12388	3	0	24	0	0	0	0	0	14	0	0	1	0	1	0	0	0	0	0	143	197	0	0	0	7	0	1
fsh-generated/resources/StructureDefinition-ph-core-patient.json	32806	7	0	42	0	0	0	0	0	36	0	0	0	0	0	0	0	1	0	0	257	415	0	0	0	19	0	1
fsh-generated/resources/StructureDefinition-ph-core-philhealth-id.json	1413	1	0	8	0	0	0	0	0	11	0	0	0	0	1	0	0	0	0	0	58	97	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-ph-core-philhealth-pan.json	1247	0	0	8	0	0	0	0	0	9	0	0	0	0	0	0	0	1	0	0	55	93	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-ph-core-philhealth-pen.json	1218	1	0	9	0	0	0	0	0	10	0	0	0	0	1	0	0	0	0	0	64	81	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-ph-core-philsys-id.json	1459	1	0	8	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	64	63	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-ph-core-practitioner.json	21488	4	0	27	0	0	0	0	0	47	0	0	0	0	1	0	0	1	0	0	175	153	0	1	0	9	0	1
fsh-generated/resources/StructureDefinition-ph-core-practitionerrole.json	7169	2	0	13	1	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	113	138	0	0	0	7	0	0
fsh-generated/resources/StructureDefinition-ph-core-procedure.json	10004	2	0	24	0	0	0	0	1	38	0	0	1	0	1	0	0	1	0	0	268	321	0	0	0	14	0	1
fsh-generated/resources/StructureDefinition-ph-core-provenance.json	24056	2	0	26	0	0	0	0	0	64	0	0	0	0	0	0	0	1	0	0	254	381	0	1	0	14	1	1
fsh-generated/resources/StructureDefinition-ph-core-pwd-disability.json	5513	1	0	5	0	0	0	0	0	27	0	0	0	0	1	0	0	0	0	0	88	108	0	0	0	5	0	1
fsh-generated/resources/StructureDefinition-ph-core-relatedperson.json	18976	3	0	23	0	0	0	0	0	35	0	0	0	0	0	0	0	1	0	0	203	299	0	0	0	11	0	1
fsh-generated/resources/StructureDefinition-ph-core-serviceRequest.json	34829	3	0	27	0	0	0	0	0	37	0	0	0	0	1	0	0	1	0	0	271	328	0	0	0	13	0	1
fsh-generated/resources/StructureDefinition-ph-core-task.json	43850	5	0	45	0	0	0	0	1	67	0	0	0	0	0	0	0	1	0	0	338	455	0	1	0	18	0	2
fsh-generated/resources/StructureDefinition-province.json	1330	1	0	3	0	0	0	0	0	17	0	0	1	0	1	0	0	0	0	0	25	61	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-race.json	1285	0	0	1	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	23	75	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-region.json	1364	1	0	2	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	24	63	0	0	0	1	0	0
fsh-generated/resources/Task-task-single-example.json	1923	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	15	0	0	0	0	0	0
fsh-generated/resources/ValueSet-barangays.json	730	0	0	0	0	0	0	0	0	54	0	0	0	0	1	0	0	0	0	0	6	69	0	0	0	1	0	0
fsh-generated/resources/ValueSet-cities.json	883	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	5	47	0	0	0	0	0	0
fsh-generated/resources/ValueSet-drugs-vs.json	445	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	5	41	0	0	0	0	0	0
fsh-generated/resources/ValueSet-educational-attainments.json	1767	0	0	0	0	0	0	0	1	11	0	0	0	0	0	0	0	0	0	0	7	305	0	0	0	1	0	0
fsh-generated/resources/ValueSet-indigenous-groups-vs.json	506	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	29	0	0	0	1	0	0
fsh-generated/resources/ValueSet-occupational-classifications.json	1898	0	0	0	0	0	0	0	0	7	0	0	0	0	1	0	0	0	0	0	7	246	0	1	0	0	0	0
fsh-generated/resources/ValueSet-ph-core-disability-type-vs.json	543	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	27	0	0	0	0	0	0
fsh-generated/resources/ValueSet-provinces.json	1159	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	6	27	0	0	0	1	0	1
fsh-generated/resources/ValueSet-regions.json	1021	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	7	26	0	0	0	0	0	0
/input/includes/bindings-list-generator.md	5987	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/includes/codesystem-list-generator.md	5173	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/includes/conceptmap-list-generator.md	193	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/includes/valueset-list-generator.md	4040	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/fsh-generated/includes/menu.xml	1105	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/fsh-generated/includes/fsh-link-references.md	7111	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/pagecontent/StructureDefinition-ph-core-name-intro.md	507	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/index.md	6973	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/StructureDefinition-ph-core-patient-intro.md	2864	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/otherIds.md	1236	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/StructureDefinition-ph-core-provenance-intro.md	2759	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/pagecontent/terminology.md	1196	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/template/config	0	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/template/config/_config.yml	140	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/temp/pages/_includes/artifacts.xml	53008	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	0	0	0	0	0	0
